City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Asau,RO,2021-04-04 18:31:13,46.4333,26.4,37.99,53,35,3.58
151,Butterworth,MY,2021-04-04 18:31:14,5.3991,100.3638,84.0,83,20,3.27
152,Beira,MZ,2021-04-04 18:31:14,-19.8436,34.8389,77.0,73,20,6.42
153,Thompson,CA,2021-04-04 18:31:14,55.7435,-97.8558,35.6,38,20,2.3
154,Vicuna,CL,2021-04-04 18:31:15,-30.0319,-70.7081,64.4,68,90,8.05
155,Anadyr,RU,2021-04-04 18:31:15,64.75,177.4833,-13.0,77,0,4.47
156,San Patricio,US,2021-04-04 18:31:15,28.017,-97.5169,78.01,60,75,12.66
157,Hasaki,JP,2021-04-04 18:31:16,35.7333,140.8333,64.4,100,75,4.61
158,Elhovo,BG,2021-04-04 18:31:16,42.1667,26.5667,42.8,100,90,13.8
159,Meulaboh,ID,2021-04-04 18:31:17,4.1363,96.1285,76.66,89,100,2.42
160,Vostok,RU,2021-04-04 18:31:17,46.4856,135.8833,20.44,72,1,5.44
161,Leningradskiy,RU,2021-04-04 18:31:17,69.3833,178.4167,0.12,94,100,5.5
162,Naranjal,EC,2021-04-04 18:31:18,-2.6667,-79.6167,86.0,62,40,9.22
163,Chegdomyn,RU,2021-04-04 18:31:18,51.1167,133.0167,17.74,92,36,2.44
164,Paraiso,CR,2021-04-04 18:31:19,9.8383,-83.8656,82.0,44,0,19.57
165,Calama,CL,2021-04-04 18:31:19,-22.4667,-68.9333,69.8,26,40,23.02
166,Saint Anthony,US,2021-04-04 18:31:20,45.0205,-93.218,78.8,25,1,13.8
167,Yenagoa,NG,2021-04-04 18:27:29,4.9247,6.2642,83.01,72,100,8.23
168,Turbat,PK,2021-04-04 18:31:20,26.0023,63.044,82.29,44,5,2.35
169,Yellowknife,CA,2021-04-04 18:31:20,62.456,-114.3525,19.99,53,20,8.05
170,Kodiak,US,2021-04-04 18:31:21,57.79,-152.4072,35.6,80,1,6.91
171,Jacareacanga,BR,2021-04-04 18:31:21,-6.2222,-57.7528,90.97,47,100,2.73
172,Turtas,RU,2021-04-04 18:31:22,58.9417,69.1325,34.21,92,100,9.26
173,Norman Wells,CA,2021-04-04 18:31:22,65.282,-126.8329,12.2,62,75,12.66
174,Palana,RU,2021-04-04 18:31:22,59.1167,159.9667,15.84,90,100,4.36
175,Saldanha,ZA,2021-04-04 18:31:22,-33.0117,17.9442,68.0,77,0,6.91
176,Maltahohe,NA,2021-04-04 18:31:23,-24.8333,16.9833,79.5,28,96,17.47
177,Chifeng,CN,2021-04-04 18:31:23,42.2683,118.9636,43.83,25,8,5.88
178,Yulara,AU,2021-04-04 18:31:23,-25.2406,130.9889,64.4,45,0,5.75
179,Ilhabela,BR,2021-04-04 18:31:24,-23.7781,-45.3581,76.03,79,55,5.59
180,Necochea,AR,2021-04-04 18:31:24,-38.5473,-58.7368,81.0,44,0,10.0
