City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Sao Joao Da Barra,BR,77.0,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
329,Bogande,BF,85.23,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
332,Vanimo,PG,78.69,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
336,Hamilton,US,77.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
337,Conceicao Do Araguaia,BR,78.8,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
338,Wagar,SD,84.16,clear sky,16.1525,36.2032,
347,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
349,Tessalit,ML,79.39,clear sky,20.1986,1.0114,
350,Kant,IN,75.83,scattered clouds,27.8,79.8,Haseeb Khan shatreng
352,Baiao,BR,77.94,broken clouds,-2.7906,-49.6717,Hotel Eurosono
353,Coruripe,BR,77.76,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
356,Kalmunai,LK,76.5,broken clouds,7.4167,81.8167,VS Villa
357,San Andres,CO,86.0,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
358,Moron,AR,75.99,few clouds,-34.6534,-58.6198,Hotel Morón
359,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
360,Rincon,US,80.6,smoke,32.296,-81.2354,Days Inn Rincon
369,Trairi,BR,80.13,overcast clouds,-3.2778,-39.2689,janelas do mar
371,Sinnamary,GF,78.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
373,Avera,US,80.6,clear sky,33.194,-82.5271,
374,Bosaso,SO,79.11,overcast clouds,11.2842,49.1816,Red Sea Hotel
381,Mecca,SA,78.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
383,Bambanglipuro,ID,76.05,heavy intensity rain,-7.95,110.2833,Puri Brata
385,Siddipet,IN,75.72,clear sky,18.1,78.85,Roads And Buildings (R&B) Guest House
387,Atar,MR,82.18,clear sky,20.5169,-13.0499,Oumou Elghoura
389,Beachwood,US,75.99,few clouds,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
391,Ugoofaaru,MV,82.72,broken clouds,5.6667,73.0,Ungoofaaru Inn
398,Thinadhoo,MV,83.66,broken clouds,0.5333,72.9333,
401,Auki,SB,78.78,overcast clouds,-8.7676,160.7034,Auki Motel
405,Jacmel,HT,82.4,broken clouds,18.2342,-72.5347,Hotel Florita
408,Narasannapeta,IN,76.06,scattered clouds,18.4167,84.05,G.lingaraju home
425,Kovvur,IN,75.25,few clouds,17.0167,81.7333,Hotel Rathna Palace
430,Varadero,CU,77.0,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
431,Neuquen,AR,77.0,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
436,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
445,Aripuana,BR,75.34,overcast clouds,-9.1667,-60.6333,
456,Alamogordo,US,84.0,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
460,Karaton,ID,80.01,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
464,Rebe,PH,78.64,overcast clouds,7.9076,123.8155,MWIMPC Training Center
466,Honavar,IN,77.23,scattered clouds,14.2833,74.45,Hotel Sagar Residency
468,Kotagiri,IN,80.6,mist,11.4333,76.8833,Lakshmi Holiday Inn
471,Catuday,PH,78.06,clear sky,16.2923,119.8062,GResort
472,Kontagora,NG,85.87,clear sky,10.3999,5.4695,Queens Guest Inn
474,Santa Helena,BR,75.63,scattered clouds,-2.2311,-45.3,Turi Plaza Hotel
480,Luwuk,ID,80.82,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
484,Kupang,ID,77.86,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
493,Socorro,US,86.0,broken clouds,31.6546,-106.3033,guarderia imss papalote
494,Nueve De Julio,AR,77.0,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
495,Puerto Carreno,CO,78.8,light rain,6.189,-67.4859,Casa Hotel Victoria
496,Tarakan,ID,77.4,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
497,Kita,ML,86.86,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
498,Huatulco,MX,84.99,overcast clouds,15.8436,-96.3267,Fonatur Operadora Portuaría
499,Le Tampon,RE,77.0,clear sky,-21.2667,55.5167,Sud Hôtel
503,Gizo,SB,82.33,moderate rain,-8.103,156.8419,Imagination Island
507,Chake Chake,TZ,78.04,light rain,-5.2459,39.7666,Hotel Archipelago
509,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Bungalow 63
510,Monrovia,LR,78.8,light rain,6.3005,-10.7969,Sunset Inn
511,Puerto Narino,CO,80.6,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
512,Ife,NG,76.69,broken clouds,7.4667,4.5667,Glory Suites
515,Karangasem,ID,80.6,heavy intensity rain,-8.45,115.6167,Villa Campuhan
517,Caucaia,BR,82.99,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
519,Hilton Head Island,US,75.2,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
520,Adrar,MR,79.83,scattered clouds,20.5022,-10.0711,
521,Honiara,SB,77.63,light rain,-9.4333,159.95,Heritage Park Hotel
524,Ko Samui,TH,83.19,broken clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
529,Rodrigues Alves,BR,89.6,scattered clouds,-7.738,-72.6509,Pousada Aconchego
532,Agadez,NE,80.4,clear sky,19.75,10.25,
542,Umm Lajj,SA,78.21,clear sky,25.0213,37.2685,Moon light Furnished Units
544,Kerema,PG,81.55,overcast clouds,-7.9631,145.7785,Frena Lodge
545,Turbat,PK,77.43,clear sky,26.0023,63.044,Mubashar Quarters
550,Carutapera,BR,77.99,broken clouds,-1.195,-46.02,Lidera
552,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
557,Ouadda,CF,76.1,broken clouds,8.0777,22.4007,
558,Sibolga,ID,75.16,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
559,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
561,Moussoro,TD,85.41,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
565,Madang,PG,79.77,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
567,Silver City,US,75.2,clear sky,32.7701,-108.2803,Copper Manor Motel
568,Dingle,PH,77.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
570,Daru,PG,81.01,light rain,-9.0763,143.2092,Daru Lodge
571,Acapulco,MX,86.0,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
574,Muhammadabad,IN,77.36,clear sky,25.6333,83.75,संत श्री पलटूदास जी महाराज धर्मशाला
580,Vung Tau,VN,80.4,overcast clouds,10.346,107.0843,Green hotel
583,Charters Towers,AU,79.68,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
584,Aswan,EG,77.56,clear sky,24.0934,32.907,Nuba Nile
